Fecha,Tipo de Emisión,Nivel de Emisión (ppm),Fuente de Emisión,Consumo de Electricidad (kWh),Consumo de Gas Natural (m³),Volumen de Agua (m³),Tipo de Residuo,Cantidad de Residuo (kg),Método de Disposición,Concentración de Contaminante (ppm),Localización de Medición,Cumplimiento Normativo,Contador de Registros
2015-01-01,CO2,91,Hornos de Secado,359,18,43,No peligroso,8,Incineración,0.0021757801189806357,En los alrededores,Sí,1
2015-01-02,CO2,33,Hornos de Secado,135,18,39,Peligroso,3,Vertedero,0.0015958289873026985,En los alrededores,Sí,2
2015-01-03,CO2,48,Hornos de Secado,481,64,23,Peligroso,4,Reciclaje,0.007015232349890664,En los alrededores,Sí,3
2015-01-04,VOC,93,Hornos de Secado,268,64,50,No peligroso,4,Reciclaje,0.004561340957951221,Dentro de la planta,Sí,4
2015-01-05,HAP,49,Maquinaria de Ensamble,112,19,31,No peligroso,9,Incineración,0.008194376232976197,En los alrededores,Sí,5
2015-01-06,CO2,49,Maquinaria de Ensamble,485,97,48,Peligroso,9,Incineración,0.001176338790792635,En los alrededores,Sí,6
2015-01-07,NOx,6,Hornos de Secado,245,81,33,Reciclable,4,Incineración,0.009356333947556333,Dentro de la planta,Sí,7
2015-01-08,CO2,83,Procesos de Pintura,359,88,43,Reciclable,9,Vertedero,0.0056912722012604335,Dentro de la planta,Sí,8
2015-01-09,HAP,2,Hornos de Secado,396,99,45,Reciclable,7,Incineración,0.009159006915585449,Dentro de la planta,Sí,9
2015-01-10,NOx,13,Procesos de Pintura,136,84,30,Peligroso,2,Vertedero,0.0011786599782598359,Dentro de la planta,Sí,10
2015-01-11,CO2,62,Hornos de Secado,209,30,29,No peligroso,9,Vertedero,0.005780921923624586,Dentro de la planta,Sí,11
2015-01-12,NOx,58,Maquinaria de Ensamble,429,58,16,Reciclable,2,Incineración,0.0074704338063580076,En los alrededores,Sí,12
2015-01-13,VOC,23,Maquinaria de Ensamble,406,84,37,Peligroso,1,Incineración,0.007534737427493452,En los alrededores,Sí,13
2015-01-14,VOC,41,Maquinaria de Ensamble,452,93,41,No peligroso,10,Reciclaje,0.008167411365189121,Dentro de la planta,Sí,14
2015-01-15,VOC,1,Maquinaria de Ensamble,220,37,20,Reciclable,9,Vertedero,0.008127602723762912,Dentro de la planta,Sí,15
2015-01-16,HAP,76,Maquinaria de Ensamble,359,18,49,No peligroso,10,Incineración,0.005358443393160957,Dentro de la planta,Sí,16
2015-01-17,VOC,38,Hornos de Secado,188,12,33,No peligroso,1,Vertedero,0.007175317002024248,En los alrededores,Sí,17
2015-01-18,VOC,53,Maquinaria de Ensamble,140,26,17,No peligroso,7,Incineración,0.005403792062544157,Dentro de la planta,Sí,18
2015-01-19,HAP,70,Procesos de Pintura,347,96,50,Reciclable,7,Reciclaje,0.0010592953396501787,En los alrededores,Sí,19
2015-01-20,CO2,52,Maquinaria de Ensamble,121,30,32,No peligroso,1,Reciclaje,0.0020256536418374535,En los alrededores,Sí,20
2015-01-21,VOC,11,Maquinaria de Ensamble,483,36,40,No peligroso,1,Reciclaje,0.0034816254873901793,Dentro de la planta,Sí,21
2015-01-22,CO2,13,Maquinaria de Ensamble,476,99,46,Peligroso,2,Incineración,0.006034637644137975,En los alrededores,Sí,22
2015-01-23,NOx,14,Maquinaria de Ensamble,327,54,25,No peligroso,1,Incineración,0.006266398224381356,En los alrededores,Sí,23
2015-01-24,NOx,87,Hornos de Secado,183,28,26,No peligroso,3,Reciclaje,0.004321348504440176,En los alrededores,Sí,24
2015-01-25,HAP,53,Procesos de Pintura,307,21,49,Reciclable,1,Incineración,0.0068154938251859575,Dentro de la planta,Sí,25
2015-01-26,HAP,45,Procesos de Pintura,336,43,26,Peligroso,1,Vertedero,0.009523609615360883,Dentro de la planta,Sí,26
2015-01-27,CO2,12,Procesos de Pintura,461,19,12,Reciclable,10,Vertedero,0.008098468484994705,Dentro de la planta,Sí,27
2015-01-28,NOx,40,Hornos de Secado,410,33,37,No peligroso,3,Vertedero,0.0026326111847284526,En los alrededores,Sí,28
2015-01-29,CO2,8,Hornos de Secado,351,91,26,Reciclable,10,Vertedero,0.00118646673418282,Dentro de la planta,Sí,29
2015-01-30,VOC,48,Hornos de Secado,470,53,10,Peligroso,2,Reciclaje,0.00411143318205048,En los alrededores,Sí,30
2015-01-31,VOC,40,Hornos de Secado,138,15,48,Peligroso,9,Incineración,0.006205056939522266,Dentro de la planta,Sí,31
2015-02-01,HAP,26,Procesos de Pintura,409,18,37,Reciclable,8,Vertedero,0.003580500016948391,Dentro de la planta,Sí,32
2015-02-02,VOC,63,Procesos de Pintura,155,45,44,Reciclable,3,Vertedero,0.004323306998529298,En los alrededores,Sí,33
