Measurement,Person,Value
1,Person A,4.988061928456079
2,Person A,5.049611521681573
3,Person A,5.000565863258921
4,Person A,4.997567269532777
5,Person A,5.123572929946113
6,Person A,4.994007134483499
7,Person A,5.057441018889848
8,Person A,5.019350747219478
9,Person A,5.049002987872044
10,Person A,5.005333785084217
11,Person A,5.131574018888145
12,Person A,4.912595443797425
13,Person A,5.037590338443399
14,Person A,5.013647815452683
15,Person A,4.954510364918329
16,Person A,5.019931570521969
17,Person A,5.00969643521844
18,Person A,4.992970878906705
19,Person A,5.040865398533195
20,Person A,4.929382354566806
21,Person A,4.974358320602442
22,Person A,5.034575230598046
23,Person A,4.933314275482864
24,Person A,5.033512111894417
25,Person A,4.946874937617805
26,Person A,5.019228086998205
27,Person A,5.024419920607485
28,Person A,5.060180675169565
29,Person A,4.99701361082872
30,Person A,5.094190101259157
31,Person A,5.075215945455652
32,Person A,4.955341659362284
33,Person A,4.927724595047103
34,Person A,5.008112882902543
35,Person A,4.905296323940007
36,Person A,5.0124287342541685
37,Person A,4.966157718472973
38,Person A,4.940250098946378
39,Person A,4.982678225528584
40,Person A,5.112333214408814
41,Person A,4.978704791272913
42,Person A,4.946888048785343
43,Person A,5.039394256076382
44,Person A,4.892662742514765
45,Person A,4.982437778302284
46,Person A,5.011784228202838
47,Person A,4.998429960387011
48,Person A,4.97850932223548
49,Person A,5.0852785862503005
50,Person A,5.002292939331531
51,Person A,4.935122308022698
52,Person A,4.945549630974783
53,Person A,5.10454677609552
54,Person A,5.009291323894371
55,Person A,4.947357269760209
56,Person A,5.002769056994522
57,Person A,4.987731533815831
58,Person A,4.985003496853536
59,Person A,4.979891290527226
60,Person A,5.051605737005666
61,Person A,4.979766987652196
62,Person A,5.034208878091537
63,Person A,4.9957454077809444
64,Person A,4.967996707825724
65,Person A,4.9900974002341005
66,Person A,4.974795114710559
67,Person A,5.040696487711387
68,Person A,4.912846551818358
69,Person A,4.931101725561124
70,Person A,4.941298210722628
71,Person A,5.054993003064239
72,Person A,5.025256412508849
73,Person A,4.998454047889549
